#dig label(dig) start(6;6;on central stairs)
d, ,d, ,d, ,d, ,d, ,d,#
d,d,d,d,d,d,d,d,d,d,d,#
d, ,d, ,d,d,d, ,d, ,d,#
 , , , ,d,d,d, , , , ,#
d, ,d,d,i,i,i,d,d, ,d,#
d,d,d,d,i,i,i,d,d,d,d,#
d, ,d,d,i,i,i,d,d, ,d,#
 , , , ,d,d,d, , , , ,#
d, ,d, ,d,d,d, ,d, ,d,#
d,d,d,d,d,d,d,d,d,d,d,#
d, ,d, ,d, ,d, ,d, ,d,#
#build label(build) start(6;6;on central stairs)
n, ,n, ,n, ,n, ,n, ,n,#
 , , , , , , , , , , ,#
n, ,n, , , , , ,n, ,n,#
 , , , , , , , , , , ,#
n, ,n, , , , , ,n, ,n,#
 , , , , , , , , , , ,#
n, ,n, , , , , ,n, ,n,#
 , , , , , , , , , , ,#
n, ,n, , , , , ,n, ,n,#
 , , , , , , , , , , ,#
n, ,n, ,n, ,n, ,n, ,n,#
